ID	Clan	A4_Gender	A5_Age	A6_HH_head	A7_Gender_HHH_if	A10_women	A10_girls	A10_men	A10_boys	A10_under2	A10_Marit_stat	A12_disp_stat	A15_income	A16_Employ_Stat	A17_Main_Source_Income	A18_Livestock_yn	A18_Sheep	A18_Goats	A18_Cows	A18_Camels	A19_disabled	A20_HHDisabled	A21_AbleAccessMedserv	A21_Distance	A21_MoneyTravel	A21_MoneyService	A21_MoneyMedicine	A21_UseTraditionalMed	B1_MealAdults	B1_MealsChildren	B2_Cereals	B2_vegorange	B2_roots	B2_leaves	B2_otherveg	B2_localfruits	B2_Otherfruits	B2_meat	B2_egg	B2_fish	B2_legumin	B2_milky	B2_fat	B2_sugar	B2_other	B3_days_cereals	B3_days_roots	B3_days_beans	B3_days_veg	B3_days_fruits	B3_days_eggmeat	B3_days_milky	B3_days_sugar	B3_days_fat	B3_days_other	B13_months_notenough	B14_Nov	B14_Oct	B14_Sep	B14_Aug	B14_Jul	B14_Jun	B14_May	B14_Apr	B14_Mar	B14_Feb	B14_Jan	B14_Dec	B15_Nofoodtoeat	B16_Sleephungry	B17_alldayandnightwithouteating	B18_Worry NotEnoughtoEat	C1_OwnLand	C2_Acresowned	C3_Bean	C3_Sesame	C3_Cowpeas	C3_Maize	C3_Other	C4_Seed_Beans	C4_Seed_Sesame	C4_Seed_Cowpeas	C4_Seed_Maize	C4_Seed_Other	C5_Source_Beans	C5_Source_Sesame	C5_Source_Cowpeas	C5_Source_Maize	C5_Source_Other	C7_Area_Beans	C7_Area_Sesame	C7_Area_Cowpeas	C7_Area_Maize	C7_Area_Other	C8_Seed_Beans_enough	C8_Seed_Sesame_enough	C8_Seed_Cowpeas_enough	C8_Seed_Maize_enough	C8_Seed_Other_enough	C9_Pest_Attack_Beans	C9_Pest_Attack_Sesame	C9_Pest_Attack_Cowpeas	C9_Pest_Attack_Maize	C9_Pest_Attack_Other	C10_Pest_Affected_Beans	C10_Pest_Affected_Sesame	C10_Pest_Affected_Cowpeas	C10_Pest_Affected_Maize	C10_Pest_Affected_Other	C11_Pest_Mngmt_Beans	C11_Pest_Mngmt_Sesame	C11_Pest_Mngmt_Cowpeas	C11_Pest_Mngmt_Maize	C11_Pest_Mngmt_Other	C12_Pest_Fertilizer_Beans	C12_Pest_Fertilizer_Sesame	C12_Pest_Fertilizer_Cowpeas	C12_Pest_Fertilizer_Maize	C12_Pest_Fertilizer_Other	C13_PestFertilizer_WARDI_Beans	C13_PestFertilizer_WARDI_Sesame	C13_PestFertilizer_WARDI_Cowpeas	C13_PestFertilizer_WARDI_Maize	C13_PestFertilizer_WARDI_Other	C15_goodpract_Beans	C15_goodpract_Sesame	C15_goodpract_Cowpeas	C15_goodpract_Maize	C15_goodpract_Other	C16_irrig_Beans	C16_irrig_Sesame	C16_irrig_Cowpeas	C16_irrig_Maize	C16_irrig_Other	C17_Areairrig_Beans	C17_Areairrig_Sesame	C17_Areairrig_Cowpeas	C17_Areairrig_Maize	C17_Areairrig_Other	C18_training_goodpract	C18_training_harvest	C18_training_input	C18_training_fert	C18_training_soil	C18_training_pestmngt	C18_training_flooddrought	C18_training_accounting	C18_training_seeding	C18_training_climate	C18_training_seedselect	C19_org_goodpract	C18_org_harvest	C18_org_input	C18_org_fert	C18_org_soil	C18_org_pestmngt	C18_org_flooddrought	C18_org_accounting	C18_org_seeding	C18_org_climate	C18_org_seedselect	C18_long_goodpract	C18_long_harvest	C18_long_input	C18_long_fert	C18_long_soil	C18_long_pestmngt	C18_long_flooddrought	C18_long_accounting	C18_long_seeding	C18_long_climate	C18_long_seedselect	C19_received_shovel	C19_received_fork	C19_received_axe	C19_received_hoe	C19_received_bandingtool	C19_usetractor	C20_irrigrehab	C20_WaterAccess	C20_WaterAccess_other	C20_freq_irrig	C20_freq_irrig_day	C21_assistance_veggarden	C22_receive_foodstoragecontainer	C22_what_text	C23_access_food_increased	C23_why_text	D1_source_LH_yn	D2_Main_source_LH	D3_LH_income	D4_WARDI_chicken	D4_chicken_beforeWARDI	D4_Chicken_owned	D11_consumming_eggs	D11_selling_eggs	D11_giving_eggs	D13_Training_animal_husband	D14_Sell_agr_prod	D15_Nearest_Market_km	D16_transport_means	D17_challenge_roads	D17_challenge_Insecurity	D17_challenge_transpCost	D17_challenge_distance	D17_challenge_notenough	D17_challenge_Other	D19_train_bookkeeping	D19_train_marketing	D19_train_credit	D19_train_mngt	D19_train_literacy	D22_LH_Changed	D23_WARDI_donkey	D23_WARDI_donkeyCart	D29_training_rehabRoads	D30_involved_roadClearance	E1_IYCFtraining	E1_Coockingtraining	E1_WaterTreattraining	E3_Part_MotherSupportGroup	F1_MainSource_Drink	F3_Distance_Water_km	F3_Distance_Water_min	F7_pay_for_water	F8_water_treatment_used	H1_washhand_beforemeal	H1_washhand_beforeservfood	H1_washhand_beforeeat	H1_washhand_beforefeedbab	H1_washhand_aftercleanbaby	H1_washhand_aftertoil	H1_washhand_aftergarb	H1_washhand_afterplay	H2_important_why	H3_wash_with_what	H4_use_latrines	Village_clean	A7_Gender_HH	A10_Total	B2_HDDS	B3_FCS	B15_HSS	B13_MAHFP	longitude	latitude	A10_children	FCS Score
1	Jareer- Makane	Male	50	Yes	0	1	1	2	2	3	Married	Returnee	100	Self-employed	Land cultivation	No	0	0	0	0	No	Yes	No	Yes	No	Yes	Yes	No	2	2	Yes	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	2	0	0	0	1	1	1	1	1	1	Yes	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Sometimes (three to ten times in the past four weeks)	Sometimes (three to ten times in the past four weeks)	Sometimes (three to ten times in the past four weeks)	Sometimes (three to ten times in the past four weeks)	Yes	4.94211	Yes	Yes	No	No	Yes	Improved	Improved	0	0	Improved	Received from NGOs	Received from NGOs	0	0	Received from NGOs	1-5 ha	1-5 ha	0	0	1-5 ha	Yes	Yes	0	0	Yes	Yes	Yes	0	0	Yes	Less than a hectare	Less than a hectare	0	0	Less than a hectare	Yes	Yes	0	0	Yes	Received from NGOs	Received from NGOs	0	0	Received from NGOs	Yes	Yes	0	0	Yes	Yes	Yes	0	0	Yes	Yes	Yes	0	0	Yes	1-5 ha	1-5 ha	0	0	1-5 ha	No	No	No	No	No	No	No	No	No	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Yes	Yes	Yes	Yes	No	Yes	Pipes	0	Twice a week	Twice a day	No	Yes	Tomatoes, sesame and maize	No	Increased well and expecting to be increase	Yes	Farming	100	6	9	15	Yes	Yes	No	No	No	20.0	Donkey cart	Yes	Yes	No	Yes	No	0.0						Yes	No	No	No	No				No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	1	30	0.0	None	No	Yes	Yes	Yes	No	Yes	No	No	To be healthy	With water and ash	No	Dheriyow	Male	9	5	14.0	4	8	45.2976468014455	4.751338501582089	3	Poor
4	Hawaadle	Male	40	Yes	0	2	3	2	4	5	Married	Host Community	300	Self-employed	Land cultivation	No	0	0	0	0	No	Yes	Yes						3	3	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	4	1	2	3	0	1	1	4	3	4	No													Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Never	Rarely (once or twice in the past four weeks)	Yes	3.0	Yes	No	No	Yes	No	Improved	0	0	Improved	0	Received from NGOs	0	0	Received from NGOs	0	1-5 ha	0	0	1-5 ha	0	Yes	0	0	Yes	0	No	0	0	No	0	0	0	0	0	0	No	0	0	No	0	Received from NGOs	0	0	Received from NGOs	0	Yes	0	0	Yes	0	Yes	0	0	Yes	0	No	0	0	No	0	0	0	0	0	0	No	No	No	No	No	No	No	No	No	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	No	No	No	No	Yes	No	Pipes	0	Once a week	Once a day	No	No	0	Yes	Because our productivity has increased.	Yes	Farming	100	0	0	0				No	Yes	5.0	Car	Yes	Yes	Yes	Yes	No	0.0						Yes	No	No	No	No				No	Rainwater collection	5	30	0.0	None	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	To be clean	Water alone	Yes	Doolagaal	Male	16	12	30.5	3	12	45.44930030010832	4.425577305740869	7	Borderline
7	Sheekhaal	Male	60	Yes	0	1	1	6	5	0	Married	Host Community	200	Unemployed	Land cultivation	Yes	10	20	0	0	No	Yes	No	Yes	No	No	No	No	2	2	Yes	No	Yes	No	No	No	Yes	No	No	No	No	No	Yes	Yes	Yes	5	2	3	0	0	0	0	7	7	7	Yes	No	No	No	No	Yes	Yes	Yes	Yes	No	No	No	No	Sometimes (three to ten times in the past four weeks)	Sometimes (three to ten times in the past four weeks)	Rarely (once or twice in the past four weeks)	Often (more than ten times in the past four weeks)	Yes	5.0	Yes	Yes	Yes	Yes	No	Recycled	Recycled	Recycled	Recycled	0	Received from NGOs	Received from NGOs	Received from NGOs	Received from NGOs	0	1-5 ha	1-5 ha	1-5 ha	1-5 ha	0	No	No	No	No	0	Yes	Yes	Yes	Yes	0	Less than a hectare	Less than a hectare	Less than a hectare	Less than a hectare	0	No	No	No	No	0	Purchased from distant town	Purchased from distant town	Purchased from distant town	Purchased from distant town	0	No	No	No	No	0	Yes	Yes	Yes	Yes	0	Yes	Yes	Yes	Yes	0	1-5 ha	1-5 ha	1-5 ha	1-5 ha	0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	More than 5 days	More than 5 days	More than 5 days	More than 5 days	More than 5 days	More than 5 days	More than 5 days	More than 5 days	More than 5 days	More than 5 days	More than 5 days	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Pipes	0	Three times a week	Once a day	No	Yes	"Beans 
Maize"	No	"1. Water shortage 
2. Lack of money"	Yes	Farming	100	0	0	0				No	Yes	30.0	Car	Yes	No	No	Yes	No	0.0						Yes	Yes	Yes	Yes	Yes				No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	1	120	0.0	Chlorination	Yes	No	No	No	No	No	No	No	To be clean	With water and soap	Yes	Biyoqurun	Male	13	6	30.0	5	8	45.3040508840143	4.500255874333652	6	Borderline
10	Jareerwayne	Male	70	Yes	0	2	3	3	3	0	Married	Host Community	120	Self-employed	Land cultivation	Yes	0	4	1	0	No	No	No	Yes	No	No	Yes	No	2	3	Yes	No	No	No	No	No	No	No	Yes	No	No	Yes	Yes	Yes	Yes	4	0	0	0	1	2	3	4	4	4	Yes	Yes	Yes	No	No	No	Yes	Yes	No	No	No	No	No	Sometimes (three to ten times in the past four weeks)	Sometimes (three to ten times in the past four weeks)	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Yes	14.8263	Yes	No	No	Yes	Yes	Improved	0	0	Improved	Improved	Received from NGOs	0	0	Received from NGOs	Received from NGOs	Less than a hectare	0	0	Less than a hectare	Less than a hectare	No	0	0	No	No	Yes	0	0	Yes	Yes	Less than a hectare	0	0	Less than a hectare	Less than a hectare	Yes	0	0	Yes	Yes	Given by relatives/friends	0	0	Given by relatives/friends	Given by relatives/friends	No	0	0	No	No	Yes	0	0	Yes	Yes	Yes	0	0	Yes	Yes	Less than a hectare	0	0	Less than a hectare	Less than a hectare	No	No	No	No	No	No	No	No	No	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	No	No	No	No	No	Yes	Pipes	0	Twice a week	Once a day	No	No	0	No	No training I have participated, no agricultural tools received	Yes	Farming	100	0	0	0				No	No	20.0	Donkey cart	Yes	No	Yes	Yes	No	0.0						Yes	No	No	No	No				No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	1	1	0.002	None	No	No	Yes	Yes	No	Yes	Yes	No	To be healthy	Other	No	Dheriyow	Male	11	6	33.0	4	8	45.2976468014455	4.751338501582089	6	Borderline
11	Jareer wayne	Male	25	Yes	0	1	0	1	0	3	Married	Host Community	100	Self-employed	Casual employment	Yes	3	4	0	0	No	No	No	Yes	No	Yes	Yes	No	3	3	Yes	No	No	No	No	No	No	No	Yes	No	No	Yes	Yes	Yes	Yes	5	3	0	0	0	4	4	3	2	2	No													Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Yes	2.47105	Yes	No	No	Yes	No	Improved	0	0	Improved	0	Received from NGOs	0	0	Received from NGOs	0	Less than a hectare	0	0	Less than a hectare	0	No	0	0	No	0	No	0	0	No	0	0	0	0	0	0	Yes	0	0	Yes	0	Received from NGOs	0	0	Received from NGOs	0	Yes	0	0	Yes	0	Yes	0	0	Yes	0	Yes	0	0	Yes	0	Less than a hectare	0	0	Less than a hectare	0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	3days	3days	3days	3days	3days	3days	3days	3days	3days	3days	3days	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Pipes	0	Three times a week	Once a day	No	No	0	Yes	Access enough food and food security.	Yes	Farming	100	2	2	4	Yes	Yes	No	No	Yes	15.0	Donkey cart	Yes	No	Yes	No	Yes	0.0						Yes	Yes	Yes	No	No				No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	2	40	0.003	None	No	No	Yes	Yes	No	Yes	No	No	To be healthy	With water and ash	Yes	Dheriyow	Male	5	6	50.5	4	12	45.2976468014455	4.751338501582089	0	Acceptable
13	Hawiye	Male	23	Yes	0	1	1	1	2	0	Married	Host Community	60	Self-employed	Land cultivation	No	0	0	0	0	No	No	Yes						2	3	Yes	Yes	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	7	4	6	1	1	0	7	7	7	7	No													Never	Never	Never	Never	Yes	1.0	Yes	No	No	Yes	No	Improved	0	0	Improved	0	Received from NGOs	0	0	Received from NGOs	0	1-5 ha	0	0	6-10 ha	0	Yes	0	0	Yes	0	No	0	0	No	0	0	0	0	0	0	No	0	0	No	0	Purchased from distant town	0	0	Purchased from distant town	0	Yes	0	0	Yes	0	Yes	0	0	Yes	0	Yes	0	0	Yes	0	1-5 ha	0	0	6-10 ha	0	Yes	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	0	0	0	0	WARDI	3days	4 days	4 days	4 days	4 days	4 days	0	0	0	0	4 days	Yes	Yes	Yes	Yes	Yes	No	Yes	Fetch with jerrycan	0	Twice a week	Once a day	No	Yes	Harvested crops	Yes	Due to the trainings, provision of agricultural inputs and equipment.	Yes	Farming	80	0	0	0				No	No	19.0	Donkey cart	Yes	No	No	No	No	0.0						Yes	No	No	No	No				No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	3	60	0.0	None	No	No	Yes	No	No	No	No	No	To be clean	Water alone	Yes	Garaash	Male	5	7	77.0	0	12	45.341067266475925	4.431868231304595	3	Acceptable
15	Waraasileey	Female	45	No	Male	1	2	1	0	0	Married	Host Community	150	Employed	Land cultivation	No	0	0	0	0	No	No	No	No	No	No	Yes	No	2	2	Yes	Yes	No	No	No	Yes	No	No	No	No	No	Yes	No	Yes	Yes	5	2	4	2	4	2	5	7	7	7	Yes	No	No	No	No	No	No	No	No	Yes	Yes	No	No	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Yes	1.0	Yes	No	No	Yes	No	Recycled	0	0	Recycled	0	Received from NGOs	0	0	Received from NGOs	0	Less than a hectare	0	0	Less than a hectare	0	No	0	0	No	0	Yes	0	0	Yes	0	Less than a hectare	0	0	Less than a hectare	0	No	0	0	No	0	Saved from own harvest	0	0	Saved from own harvest	0	Yes	0	0	Yes	0	Yes	0	0	Yes	0	Yes	0	0	Yes	0	Less than a hectare	0	0	Less than a hectare	0	Yes	Yes	Yes	Yes	Don't know	Don't know	Yes	Yes	Yes	Don't know	Yes	WARDI	WARDI	WARDI	WARDI	0	0	WARDI	WARDI	WARDI	0	WARDI	5 days	5 days	5 days	5 days	0	0	5 days	5 days	5 days	0	5 days	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Pipes	0	Everyday	Three times a day	Yes	Yes	Produce from the farm like maize and seeds	Yes	The support i received from the project increased the input from my farm that is providing access to enough food to my household	Yes	Farming	100	5	0	5				Yes	Yes	4.0	Donkey cart	Yes	Yes	No	Yes	Yes	0.0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	1	30	0.0	None	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	To be clean	Water alone	Yes	Garaash	Male	4	6	67.0	4	10	45.341067266475925	4.431868231304595	2	Acceptable
16	Jareer-	Female	35	Yes	0	1	2	1	2	1	Married	Host Community	100	Self-employed	Land cultivation	Yes	7	6	1	0	No	No	No	Yes	No	No	Yes	No	3	3	Yes	Yes	No	No	No	No	No	No	Yes	Yes	No	Yes	Yes	Yes	Yes	5	1	1	0	0	4	4	5	5	5	No													Sometimes (three to ten times in the past four weeks)	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Yes	14.8263	Yes	No	Yes	Yes	No	Improved	0	Improved	Improved	0	Received from NGOs	0	Received from NGOs	Received from NGOs	0	Less than a hectare	0	Less than a hectare	Less than a hectare	0	No	0	No	No	0	Yes	0	Yes	Yes	0	Less than a hectare	0	Less than a hectare	Less than a hectare	0	Yes	0	Yes	Yes	0	Received from NGOs	0	Received from NGOs	Received from NGOs	0	Yes	0	Yes	Yes	0	Yes	0	Yes	Yes	0	Yes	0	Yes	Yes	0	1-5 ha	0	1-5 ha	1-5 ha	0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	2 days	2 days	2 days	2 days	2 days	2 days	2 days	2 days	2 days	2 days	2 days	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Fetch with jerrycan	0	Three times a week	Once a day	No	Yes	BEANS, MAIZE, TOMATOS	Yes	Access to enough water as result of the assistance I have received	Yes	Farming	80	4	2	6	Yes	No	No	No	Yes	15.0	Donkey cart	No	No	Yes	Yes	Yes	0.0						Yes	No	No	No	No	Yes	No	No	Yes	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	1	30	0.002	None	No	No	Yes	Yes	No	Yes	Yes	No	To be healthy	With water and ash	Yes	Dheriyow	Female	7	8	52.0	4	12	45.2976468014455	4.751338501582089	4	Acceptable
17	Hawiye	Female	34	No	Male	1	2	1	2	2	Married	Host Community	200	Self-employed	Land cultivation	No	0	0	0	0	No	No	No	No	No	Yes	No	No	3	4	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	3	2	2	1	1	1	2	3	3	3	No													Rarely (once or twice in the past four weeks)	Never	Never	Sometimes (three to ten times in the past four weeks)	Yes	5.0	Yes	Yes	Yes	Yes	No	Improved	Improved	Improved	Improved	0	Received from NGOs	Received from NGOs	Received from NGOs	Received from NGOs	0	1-5 ha	1-5 ha	1-5 ha	1-5 ha	0	Yes	Yes	Yes	Yes	0	No	No	No	No	0	0	0	0	0	0	Yes	Yes	Yes	Yes	0	Received from NGOs	Received from NGOs	Received from NGOs	Received from NGOs	0	Yes	Yes	Yes	Yes	0	Yes	Yes	Yes	Yes	0	No	No	No	No	0	0	0	0	0	0	No	No	No	No	No	No	No	No	No	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Yes	Yes	Yes	Yes	Yes	No	Pipes	0	Once a week	Once a day	No	No	0	Yes	whence the farming and land productivity increase the accessibility of the food will increase.	Yes	Farming	70	0	0	0				No	No	10.0	Car	Yes	Yes	Yes	Yes	No	0.0						Yes	No	No	No	No				No	Rainwater collection	1	10	0.0	None	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	To be clean	Water alone	Yes	Doolagaal	Male	8	15	33.0	2	12	45.44930030010832	4.425577305740869	4	Borderline
18	Sheekhaal	Male	53	Yes	0	1	0	3	0	0	Married	Host Community	90	Unemployed	Land cultivation	No	0	0	0	0	No	Yes	No	Yes	No	No	No	No	2	3	Yes	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	7	0	4	3	0	0	0	7	7	7	Yes	No	No	No	No	Yes	Yes	Yes	No	No	No	No	No	Sometimes (three to ten times in the past four weeks)	Rarely (once or twice in the past four weeks)	Rarely (once or twice in the past four weeks)	Never	Yes	3.0	Yes	Yes	Yes	Yes	Yes	Improved	Improved	Improved	Improved	Improved	Received from NGOs	Received from NGOs	Received from NGOs	Received from NGOs	Received from NGOs	1-5 ha	1-5 ha	1-5 ha	1-5 ha	1-5 ha	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Less than a hectare	Less than a hectare	Less than a hectare	Less than a hectare	Less than a hectare	Yes	Yes	Yes	Yes	Yes	Received from NGOs	Received from NGOs	Received from NGOs	Received from NGOs	Received from NGOs	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1-5 ha	1-5 ha	1-5 ha	1-5 ha	1-5 ha	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	WARDI	More than 5 days	More than 5 days	More than 5 days	More than 5 days	More than 5 days	More than 5 days	More than 5 days	More than 5 days	More than 5 days	More than 5 days	More than 5 days	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Pipes	0	Once a week	Once a day	Yes	Yes	"Beans 

Maaize 

Cowpea"	Yes	It is now increasing  but not increased . It's row now . We only need fuel for machine	Yes	Farming	100	0	0	0				No	Yes	32.0	Donkey cart	Yes	No	No	Yes	No	0.0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes				No	Surface water (river, dam, lake, pond, stream, canal, irrigation channels)	3	120	0.0	Chlorination	No	No	Yes	No	No	No	No	No	To be clean	With water and soap	Yes	Biyoqurun	Male	4	4	36.0	3	9	45.3040508840143	4.500255874333652	0	Acceptable
